Digital Art and Animation,Gain a deep understanding of production pipelines and create high-quality games and animated films.,"Qualification
  
                  Bachelor of Fine Arts","Provider
  
                  DigiPen Institute of Technology Singapore","Duration
  
                  3 years, 8 months","Total credits
  
                  240"
Aerospace Engineering,Sound foundations in engineering with emphasis on autonomous aerial vehicles.,"Qualification
  
                  Bachelor of Engineering","Provider
  
                  SIT & University of Glasgow","Duration
  
                  3 years","Total credits
  
                  180"
